Date;Whole Network;Integrity;(DIGIS2) DL Traffic Volume (GBytes);(DIGIS2) UL Traffic Volume (GBytes);L.Traffic.ActiveUser.Avg;L.Traffic.ActiveUser.DL.Avg
2019-09-17;Whole Network;100%;6745.8787;1124.4681;NIL;135.5537
2019-09-18;Whole Network;100%;7059.8912;1120.9587;NIL;143.3555
2019-09-19;Whole Network;100%;6973.2411;1088.1399;NIL;150.5461
2019-09-20;Whole Network;100%;7304.3743;1136.7255;NIL;154.7979
2019-09-21;Whole Network;100%;7438.8374;1173.9458;NIL;152.8193
2019-09-22;Whole Network;100%;7020.8009;1148.8249;NIL;138.9605
2019-09-23;Whole Network;100%;6590.5301;1134.5921;NIL;134.3693
2019-09-24;Whole Network;100%;7081.5919;1120.9345;NIL;148.251
2019-09-25;Whole Network;100%;6997.978;1147.9674;NIL;145.3098
2019-09-26;Whole Network;100%;7180.4789;1156.7316;NIL;150.7827
2019-09-27;Whole Network;99%;7074.9483;1160.7751;NIL;145.4776
2019-09-28;Whole Network;100%;7652.4306;1233.3999;NIL;168.8895
2019-09-29;Whole Network;100%;7464.1767;1165.0255;NIL;157.5625
2019-09-30;Whole Network;99%;6778.7231;1073.9218;NIL;147.4118
2019-10-01;Whole Network;100%;7618.6197;1206.6718;NIL;171.3353
2019-10-02;Whole Network;99%;7732.2209;1262.3147;NIL;174.0145
2019-10-03;Whole Network;100%;7707.2664;1314.2332;NIL;181.3107
2019-10-04;Whole Network;100%;7952.6919;1317.2697;NIL;185.0632
2019-10-05;Whole Network;100%;8332.8315;1398.4599;NIL;202.5664
2019-10-06;Whole Network;99%;8282.5219;1398.7714;NIL;199.7438
2019-10-07;Whole Network;100%;7876.8021;1265.9711;NIL;188.0023
2019-10-08;Whole Network;98%;8082.5201;1276.9559;NIL;201.5443
2019-10-09;Whole Network;100%;8412.6689;1324.1946;NIL;206.4981
2019-10-10;Whole Network;100%;8317.0925;1316.8653;NIL;206.3115
2019-10-11;Whole Network;100%;8546.8553;1377.3198;NIL;208.5134
2019-10-12;Whole Network;99%;8158.9028;1335.8791;NIL;186.0534
2019-10-13;Whole Network;100%;8745.7128;1463.3082;NIL;216.7135
2019-10-14;Whole Network;99%;7859.7294;1272.1131;NIL;184.0697
2019-10-15;Whole Network;99%;8021.4799;1284.5326;NIL;199.1237
2019-10-16;Whole Network;98%;8404.2691;1325.9799;NIL;216.4125
2019-10-17;Whole Network;100%;8738.1581;1334.1652;NIL;221.683
2019-10-18;Whole Network;100%;8690.5885;1329.1727;NIL;221.5109
2019-10-19;Whole Network;100%;8867.8462;1431.0166;NIL;226.0611
2019-10-20;Whole Network;100%;8920.0309;1478.0448;NIL;228.6247
2019-10-21;Whole Network;100%;8320.0374;1415.5402;NIL;209.8286
2019-10-22;Whole Network;100%;8668.1734;1471.1695;NIL;227.9139
2019-10-23;Whole Network;100%;8613.1834;1438.554;NIL;225.5519
2019-10-24;Whole Network;100%;8672.7916;1444.1904;NIL;228.2693
2019-10-25;Whole Network;100%;8799.3824;1445.4634;NIL;232.1352
2019-10-26;Whole Network;100%;9084.4319;1573.7546;NIL;233.2349
2019-10-27;Whole Network;100%;9064.0464;1594.5449;NIL;232.4874
2019-10-28;Whole Network;99%;8321.2062;1397.0922;NIL;207.3394
2019-10-29;Whole Network;99%;8831.2977;1446.6778;NIL;236.137
2019-10-30;Whole Network;100%;9108.8913;1466.4273;NIL;247.2061
2019-10-31;Whole Network;100%;9054.9321;1487.228;NIL;250.6663
2019-11-01;Whole Network;100%;9095.0576;1492.9367;NIL;241.172
2019-11-02;Whole Network;100%;9297.866;1512.5698;NIL;242.7024
2019-11-03;Whole Network;99%;9064.8381;1523.2176;NIL;224.6447
2019-11-04;Whole Network;99%;7803.7467;1316.0761;NIL;174.4601
2019-11-05;Whole Network;99%;7998.0324;1325.7122;NIL;181.3948
2019-11-06;Whole Network;99%;8504.8321;1430.5283;NIL;212.8508
2019-11-07;Whole Network;100%;9065.4488;1552.4744;NIL;231.8238
2019-11-08;Whole Network;100%;9152.5753;1447.3707;NIL;228.5861
2019-11-09;Whole Network;100%;9361.9956;1570.8232;NIL;236.2668
2019-11-10;Whole Network;100%;9633.3211;1620.8242;NIL;255.38
2019-11-11;Whole Network;100%;8732.8959;1520.8927;NIL;216.1649
2019-11-12;Whole Network;100%;9054.5219;1523.8469;NIL;229.7098
2019-11-13;Whole Network;100%;9211.9044;1536.3114;NIL;239.635
2019-11-14;Whole Network;100%;9102.9719;1533.4693;NIL;233.7038
2019-11-15;Whole Network;100%;9545.6092;1583.0512;NIL;251.0523
2019-11-16;Whole Network;100%;9849.5128;1645.9184;NIL;253.6272
2019-11-17;Whole Network;100%;9766.6676;1721.5381;NIL;258.2661
2019-11-18;Whole Network;100%;9241.1525;1598.0657;NIL;239.9005
2019-11-19;Whole Network;100%;9120.3812;1560.9825;NIL;236.3167
2019-11-20;Whole Network;100%;9624.6726;1581.6265;NIL;261.5807
